国債金利情報 (令和8年7月),,,,,,,,,,,,,,,(単位 : %)
基準日,1年,2年,3年,4年,5年,6年,7年,8年,9年,10年,15年,20年,25年,30年,40年
R8.7.1,1.164,1.4,1.554,1.777,1.959,2.099,2.255,2.421,2.572,2.711,3.286,3.632,3.889,3.883,3.782
R8.7.2,1.166,1.395,1.567,1.797,1.979,2.137,2.3,2.47,2.627,2.778,3.359,3.711,3.956,3.937,3.826
R8.7.3,1.159,1.39,1.558,1.789,1.971,2.127,2.291,2.461,2.62,2.768,3.353,3.699,3.953,3.94,3.834
R8.7.6,1.166,1.396,1.56,1.803,1.994,2.157,2.324,2.506,2.666,2.823,3.412,3.745,4.004,3.976,3.875
R8.7.7,1.168,1.402,1.565,1.816,2.007,2.172,2.342,2.524,2.68,2.834,3.415,3.749,4.002,3.951,3.879
R8.7.8,1.18,1.433,1.59,1.843,2.039,2.198,2.368,2.552,2.705,2.856,3.445,3.798,4.056,3.998,3.936
R8.7.9,1.183,1.444,1.599,1.851,2.039,2.204,2.372,2.561,2.714,2.866,3.449,3.795,4.065,4.013,3.962
R8.7.10,1.184,1.434,1.579,1.811,1.99,2.144,2.293,2.477,2.627,2.761,3.355,3.702,3.976,3.938,3.891
R8.7.13,1.191,1.451,1.593,1.825,2.006,2.159,2.317,2.5,2.651,2.786,3.358,3.698,3.969,3.922,3.861
R8.7.14,1.193,1.435,1.558,1.783,1.963,2.101,2.253,2.431,2.581,2.713,3.267,3.534,3.85,3.787,3.753
R8.7.15,1.196,1.436,1.551,1.774,1.948,2.083,2.231,2.409,2.559,2.697,3.266,3.566,3.863,3.802,3.753
R8.7.16,1.202,1.44,1.556,1.79,1.964,2.106,2.255,2.436,2.582,2.719,3.288,3.614,3.918,3.862,3.801
,,,,,,,,,,,,,,,
※最新のcsvデータがダウンロードできない場合、ご利用のブラウザにおいてキャッシュの削除を実施し再度ダウンロードください。,,,,,,,,,,,,,,,
